inventory_year,survey_unit,county,plot_number,tree_number,diameter,height,SPCD,log_height,log_diameter
2017,3,21,298,20,13.716000000000001,8.5344,97.0,2.144105055005558,2.618563034600674
2017,3,21,623,16,30.988,20.4216,97.0,3.0165931642213204,3.433600032769656
2017,3,21,774,1,38.354,23.7744,97.0,3.168609371519946,3.6468588248513236
2017,3,21,774,2,34.544,22.86,97.0,3.1293886583666644,3.5422338737724512
2017,3,21,774,3,38.862,24.384,97.0,3.193927179504236,3.660016909428835
2017,3,21,774,4,22.098,14.325600000000001,97.0,2.6620481465404127,3.095487106690983
2017,3,21,774,6,32.004,22.250400000000003,97.0,3.102359985978745,3.4658608949878773
2017,3,21,774,8,28.956000000000003,23.4696,97.0,3.155705966684038,3.365777436430895
2017,3,21,774,9,31.242,22.86,97.0,3.1293886583666644,3.441763343408817
2017,3,21,774,10,36.068,23.7744,97.0,3.168609371519946,3.58540604563766
2017,3,21,774,11,34.036,23.7744,97.0,3.168609371519946,3.527418787987311
2017,3,21,774,12,6.8580000000000005,4.8768,97.0,1.5844892670701354,1.9254158540407287
2017,3,21,774,14,16.51,21.945600000000002,97.0,3.0885666638464095,2.8039662579320366
2017,3,21,774,15,24.637999999999998,22.555200000000003,97.0,3.115965638034524,3.204289966539782
2017,3,21,774,16,25.146,22.555200000000003,97.0,3.115965638034524,3.2246988381709896
2017,3,21,774,17,33.02,23.7744,97.0,3.168609371519946,3.497113438491982
2017,3,21,774,20,22.606,22.250400000000003,97.0,3.102359985978745,3.1182153577685394
2017,3,21,774,21,26.67,23.7744,97.0,3.168609371519946,3.283539338193923
2017,3,21,1512,2,5.588000000000001,3.6576000000000004,97.0,1.2968071946183546,1.7206214413947156
2017,3,21,1512,5,42.672000000000004,16.4592,97.0,2.8008845913946283,3.7535429674396585
2017,3,21,3126,1,41.402,21.031200000000002,97.0,3.0460070494276135,3.723329188843162
2017,3,21,3126,2,2.7940000000000005,2.1336,97.0,0.7578106938856675,1.0274742608347702
2017,3,21,3126,4,18.796000000000003,12.192,97.0,2.5007799989442905,2.9336440812405695
2017,3,21,3126,5,27.177999999999997,21.945600000000002,97.0,3.0885666638464095,3.3024078224983056
2017,3,21,3126,6,24.13,16.4592,97.0,2.8008845913946283,3.1834558796369405
2017,3,21,3126,7,19.812,15.5448,97.0,2.74372617755468,2.9862878147259915
2017,3,21,3126,10,37.083999999999996,19.2024,97.0,2.955035271221887,3.6131856097447357
2017,3,21,3126,11,21.082,11.5824,97.0,2.44948670455674,3.0484195958329976
2017,3,21,3126,12,34.29,18.8976,97.0,2.939034929875446,3.534853766474829
2017,3,21,3126,13,30.988,17.6784,97.0,2.8723435553767733,3.433600032769656
2017,3,21,3126,14,66.04,25.908,97.0,3.2545518013206705,4.190260619051927
2017,3,21,3126,15,35.306000000000004,18.8976,97.0,2.939034929875446,3.5640529211670913
2017,3,21,3189,1,20.573999999999998,14.020800000000001,97.0,2.6405419413194493,3.024028142708838
2017,3,21,3189,2,24.384,17.0688,97.0,2.8372522355655034,3.193927179504236
2017,3,21,3189,4,9.906,6.7056000000000004,97.0,1.90294299818867,2.293140634166046
2017,3,21,3189,5,42.672000000000004,21.336000000000002,97.0,3.060395786879713,3.7535429674396585
2017,3,21,3189,7,38.354,21.640800000000002,97.0,3.0745804218716697,3.6468588248513236
