inventory_year,survey_unit,country,plot_number,tree_number,diametr,height,log_height,log_diametr
2022,2,9,1088,9,4.0,25.0,3.2188758248682006,1.3862943611198906
2022,2,9,1088,10,11.1,47.0,3.8501476017100584,2.4069451083182885
2022,2,9,1088,12,6.5,32.0,3.4657359027997265,1.8718021769015913
2022,2,9,1088,13,6.0,17.0,2.833213344056216,1.791759469228055
2022,2,9,1088,14,6.7,26.0,3.258096538021482,1.9021075263969205
2022,2,9,1088,15,5.4,32.0,3.4657359027997265,1.6863989535702288
2022,2,9,1088,16,6.8,30.0,3.4011973816621555,1.916922612182061
2022,2,9,1088,18,1.0,7.0,1.9459101490553132,0.0
2022,2,9,1088,20,1.3,8.0,2.0794415416798357,0.26236426446749106
2022,2,9,1088,22,1.4,9.0,2.1972245773362196,0.3364722366212129
2022,2,9,1088,23,1.1,8.0,2.0794415416798357,0.09531017980432493
2022,2,9,1088,24,5.5,24.0,3.1780538303479458,1.7047480922384253
2022,2,9,1420,2,14.0,69.0,4.23410650459726,2.6390573296152584
2022,2,9,1420,4,10.3,50.0,3.912023005428146,2.33214389523559
2022,2,9,1420,5,9.0,50.0,3.912023005428146,2.1972245773362196
2022,2,9,1420,8,8.7,47.0,3.8501476017100584,2.163323025660538
2022,2,9,1468,4,14.6,56.0,4.02535169073515,2.681021528714291
2022,2,9,1468,10,1.1,9.0,2.1972245773362196,0.09531017980432493
2022,2,9,1468,11,5.8,24.0,3.1780538303479458,1.7578579175523736
2022,2,9,1468,13,1.4,9.0,2.1972245773362196,0.3364722366212129
2022,2,9,1468,18,1.5,13.0,2.5649493574615367,0.4054651081081644
2022,2,9,1468,33,7.0,43.0,3.7612001156935624,1.9459101490553132
2022,2,9,1468,34,7.5,46.0,3.828641396489095,2.0149030205422647
2022,2,9,1468,36,6.9,45.0,3.8066624897703196,1.9315214116032138
2022,2,9,1468,39,5.6,32.0,3.4657359027997265,1.7227665977411035
2022,2,9,1468,47,5.9,48.0,3.871201010907891,1.7749523509116738
2022,2,9,1468,48,5.9,41.0,3.713572066704308,1.7749523509116738
2022,2,9,1468,54,5.1,40.0,3.6888794541139363,1.62924053973028
2022,2,9,2834,3,6.3,39.0,3.6635616461296463,1.840549633397487
2022,2,9,2834,5,24.5,86.0,4.454347296253507,3.1986731175506815
2022,2,9,2834,7,6.0,23.0,3.1354942159291497,1.791759469228055
2022,2,9,2834,13,1.0,7.0,1.9459101490553132,0.0
2022,2,11,249,13,2.5,11.0,2.3978952727983707,0.9162907318741551
2022,2,11,249,29,2.3,19.0,2.9444389791664403,0.8329091229351039
2022,2,11,250,1,2.8,17.0,2.833213344056216,1.0296194171811581
2022,2,11,250,18,9.7,38.0,3.6375861597263857,2.272125885509337
2022,2,11,250,19,5.2,22.0,3.091042453358316,1.6486586255873816
2022,2,11,250,24,8.9,36.0,3.58351893845611,2.186051276738094
2022,2,11,250,34,5.9,29.0,3.367295829986474,1.7749523509116738
2022,2,11,1287,2,6.9,41.0,3.713572066704308,1.9315214116032138
2022,2,15,289,3,7.2,41.0,3.713572066704308,1.9740810260220096
2022,2,15,289,4,5.7,39.0,3.6635616461296463,1.7404661748405046
2022,2,15,289,7,6.9,51.0,3.9318256327243257,1.9315214116032138
2022,2,15,289,8,7.2,45.0,3.8066624897703196,1.9740810260220096
2022,2,15,289,9,7.6,50.0,3.912023005428146,2.028148247292285
2022,2,15,289,10,8.3,52.0,3.9512437185814275,2.1162555148025524
2022,2,15,289,12,9.6,68.0,4.219507705176107,2.2617630984737906
2022,2,15,289,15,5.8,28.0,3.332204510175204,1.7578579175523736
2022,2,15,289,16,1.7,15.0,2.70805020110221,0.5306282510621704
2022,2,15,289,18,6.5,45.0,3.8066624897703196,1.8718021769015913
2022,2,15,289,33,9.1,58.0,4.060443010546419,2.2082744135228043
2022,2,15,289,34,2.7,15.0,2.70805020110221,0.9932517730102834
2022,2,15,386,4,1.3,8.0,2.0794415416798357,0.26236426446749106
2022,2,15,1360,5,14.0,58.0,4.060443010546419,2.6390573296152584
2022,2,15,1360,6,7.4,44.0,3.784189633918261,2.0014800002101243
2022,2,15,1360,26,5.8,42.0,3.7376696182833684,1.7578579175523736
2022,2,15,1360,30,1.0,7.0,1.9459101490553132,0.0
2022,2,17,342,2,2.6,30.0,3.4011973816621555,0.9555114450274363
2022,2,17,342,3,4.6,22.0,3.091042453358316,1.5260563034950492
2022,2,17,342,9,6.5,37.0,3.6109179126442243,1.8718021769015913
2022,2,17,342,12,5.1,30.0,3.4011973816621555,1.62924053973028
2022,2,17,387,3,2.4,13.0,2.5649493574615367,0.8754687373538999
2022,2,17,633,1,2.9,15.0,2.70805020110221,1.0647107369924282
2022,2,17,633,6,8.5,44.0,3.784189633918261,2.1400661634962708
2022,2,19,893,11,1.5,9.0,2.1972245773362196,0.4054651081081644
2022,2,19,979,7,7.4,41.0,3.713572066704308,2.0014800002101243
2022,2,23,48,2,6.2,46.0,3.828641396489095,1.824549292051046
2022,2,23,48,3,13.9,64.0,4.1588830833596715,2.631888840136646
2022,2,23,48,4,9.2,49.0,3.8918202981106265,2.2192034840549946
2022,2,23,48,5,12.4,61.0,4.110873864173311,2.517696472610991
2022,2,23,48,6,14.1,74.0,4.30406509320417,2.6461747973841225
2022,2,23,48,9,13.2,65.0,4.174387269895637,2.580216829592325
