plot_sequence_number,inventory_year,survey_unit,country,plot_number,tree_number,diametr,height,log_height,log_diametr
222468954010661,2011,2,5,925,4,15.6,57.0,4.04305126783455,2.747270914255491
222468954010661,2011,2,5,925,8,5.5,40.0,3.6888794541139363,1.7047480922384253
73614589010538,2006,2,5,925,9,7.1,47.0,3.8501476017100584,1.9600947840472698
73614589010538,2006,2,5,925,11,8.9,61.0,4.110873864173311,2.186051276738094
1287180407290487,2024,2,5,925,13,5.4,40.0,3.6888794541139363,1.6863989535702288
73614589010538,2006,2,5,925,14,5.2,57.0,4.04305126783455,1.6486586255873816
73614589010538,2006,2,5,925,16,8.9,56.0,4.02535169073515,2.186051276738094
73614589010538,2006,2,5,925,17,6.8,42.0,3.7376696182833684,1.916922612182061
1287180407290487,2024,2,5,925,18,9.0,62.0,4.127134385045092,2.1972245773362196
222468954010661,2011,2,5,925,19,5.3,22.0,3.091042453358316,1.667706820558076
247064743010661,2012,2,5,928,2,11.5,61.0,4.110873864173311,2.4423470353692043
247064743010661,2012,2,5,928,3,9.6,53.0,3.970291913552122,2.2617630984737906
247064743010661,2012,2,5,928,4,7.1,44.0,3.784189633918261,1.9600947840472698
122566850010661,2007,2,5,928,5,13.6,63.0,4.143134726391533,2.6100697927420065
247064743010661,2012,2,5,928,10,6.5,43.0,3.7612001156935624,1.8718021769015913
247064623010661,2012,2,5,963,9,15.2,84.0,4.430816798843313,2.7212954278522306
511268756126144,2019,2,5,988,2,12.1,61.0,4.110873864173311,2.4932054526026954
222469010010661,2011,2,5,1003,2,7.1,40.0,3.6888794541139363,1.9600947840472698
222469010010661,2011,2,5,1003,4,12.3,73.0,4.290459441148391,2.509599262378372
222469010010661,2011,2,5,1003,5,8.8,57.0,4.04305126783455,2.174751721484161
222469010010661,2011,2,5,1003,9,5.7,40.0,3.6888794541139363,1.7404661748405046
55949790010538,2003,2,5,1159,1,8.7,46.0,3.828641396489095,2.163323025660538
55949790010538,2003,2,5,1159,7,5.4,34.0,3.5263605246161616,1.6863989535702288
55949790010538,2003,2,5,1159,8,5.8,42.0,3.7376696182833684,1.7578579175523736
55949790010538,2003,2,5,1159,10,5.4,39.0,3.6635616461296463,1.6863989535702288
55949790010538,2003,2,5,1159,11,6.5,46.0,3.828641396489095,1.8718021769015913
55949790010538,2003,2,5,1159,12,5.7,42.0,3.7376696182833684,1.7404661748405046
55949790010538,2003,2,5,1159,13,6.7,44.0,3.784189633918261,1.9021075263969205
55949790010538,2003,2,5,1159,14,6.8,43.0,3.7612001156935624,1.916922612182061
511268740126144,2019,2,5,1159,26,6.4,33.0,3.4965075614664802,1.8562979903656263
511268740126144,2019,2,5,1159,27,8.0,55.0,4.007333185232471,2.0794415416798357
511268740126144,2019,2,5,1159,28,7.7,53.0,3.970291913552122,2.0412203288596382
511268740126144,2019,2,5,1159,30,7.2,52.0,3.9512437185814275,1.9740810260220096
511268740126144,2019,2,5,1159,31,8.1,53.0,3.970291913552122,2.0918640616783932
511268740126144,2019,2,5,1159,32,7.2,53.0,3.970291913552122,1.9740810260220096
618642418126144,2020,2,5,1164,9,10.0,62.0,4.127134385045092,2.302585092994046
618642418126144,2020,2,5,1164,11,5.6,42.0,3.7376696182833684,1.7227665977411035
618642418126144,2020,2,5,1164,20,15.3,64.0,4.1588830833596715,2.72785282839839
1287180413290487,2024,2,5,1239,7,5.1,20.0,2.995732273553991,1.62924053973028
1287180413290487,2024,2,5,1239,8,2.4,11.0,2.3978952727983707,0.8754687373538999
511268755126144,2019,2,5,1384,54,6.0,24.0,3.1780538303479458,1.791759469228055
1192967948290487,2023,2,5,1426,38,2.8,18.0,2.8903717578961645,1.0296194171811581
1192967948290487,2023,2,5,1426,59,1.3,12.0,2.4849066497880004,0.26236426446749106
618642457126144,2020,2,5,1430,14,1.0,7.0,1.9459101490553132,0.0
464691459489998,2018,2,5,1470,1,8.1,63.0,4.143134726391533,2.0918640616783932
464691459489998,2018,2,5,1470,28,9.1,65.0,4.174387269895637,2.2082744135228043
247064704010661,2012,2,5,1470,29,6.7,48.0,3.871201010907891,1.9021075263969205
618642463126144,2020,2,5,1476,2,19.3,55.0,4.007333185232471,2.9601050959108397
118137534010661,2008,2,5,1476,4,5.8,16.0,2.772588722239781,1.7578579175523736
618642463126144,2020,2,5,1476,10,14.9,64.0,4.1588830833596715,2.7013612129514133
16365480020004,2013,2,5,1476,11,14.4,59.0,4.07753744390572,2.667228206581955
722577850290487,2021,2,9,30,7,11.7,67.0,4.204692619390966,2.4595888418037104
722577850290487,2021,2,9,30,13,8.5,47.0,3.8501476017100584,2.1400661634962708
722577850290487,2021,2,9,30,16,8.9,47.0,3.8501476017100584,2.186051276738094
722577850290487,2021,2,9,30,20,9.2,48.0,3.871201010907891,2.2192034840549946
722577850290487,2021,2,9,30,23,5.4,39.0,3.6635616461296463,1.6863989535702288
722577850290487,2021,2,9,30,26,1.8,11.0,2.3978952727983707,0.5877866649021191
722577850290487,2021,2,9,30,36,5.3,34.0,3.5263605246161616,1.667706820558076
222469008010661,2011,2,9,51,1,8.5,49.0,3.8918202981106265,2.1400661634962708
222469008010661,2011,2,9,51,4,9.0,43.0,3.7612001156935624,2.1972245773362196
222469008010661,2011,2,9,51,7,7.1,49.0,3.8918202981106265,1.9600947840472698
1287180474290487,2024,2,9,51,8,8.9,45.0,3.8066624897703196,2.186051276738094
222469008010661,2011,2,9,51,9,10.6,65.0,4.174387269895637,2.3608540011180215
222469008010661,2011,2,9,51,10,5.8,39.0,3.6635616461296463,1.7578579175523736
222469008010661,2011,2,9,51,12,10.0,56.0,4.02535169073515,2.302585092994046
1287180474290487,2024,2,9,51,14,1.7,11.0,2.3978952727983707,0.5306282510621704
1287180474290487,2024,2,9,51,15,2.9,14.0,2.6390573296152584,1.0647107369924282
1287180474290487,2024,2,9,51,16,1.5,10.0,2.302585092994046,0.4054651081081644
1287180474290487,2024,2,9,51,17,1.5,9.0,2.1972245773362196,0.4054651081081644
1287180474290487,2024,2,9,51,19,5.4,38.0,3.6375861597263857,1.6863989535702288
375519218489998,2017,2,9,51,25,9.2,57.0,4.04305126783455,2.2192034840549946
1287180474290487,2024,2,9,51,41,5.0,31.0,3.4339872044851463,1.6094379124341003
1287180470290487,2024,2,9,199,12,7.3,48.0,3.871201010907891,1.9878743481543455
1287180470290487,2024,2,9,199,25,5.0,38.0,3.6375861597263857,1.6094379124341003
1287180472290487,2024,2,9,208,1,4.0,23.0,3.1354942159291497,1.3862943611198906
1287180472290487,2024,2,9,208,3,11.3,56.0,4.02535169073515,2.424802725718295
1287180472290487,2024,2,9,208,5,5.5,42.0,3.7376696182833684,1.7047480922384253
1287180472290487,2024,2,9,208,6,7.9,49.0,3.8918202981106265,2.066862759472976
464691532489998,2018,2,9,214,4,12.4,65.0,4.174387269895637,2.517696472610991
511267859126144,2019,2,9,225,1,2.9,18.0,2.8903717578961645,1.0647107369924282
511267859126144,2019,2,9,225,2,7.9,40.0,3.6888794541139363,2.066862759472976
247064773010661,2012,2,9,225,6,6.0,35.0,3.5553480614894135,1.791759469228055
511267859126144,2019,2,9,225,8,11.3,50.0,3.912023005428146,2.424802725718295
511267859126144,2019,2,9,225,9,6.7,33.0,3.4965075614664802,1.9021075263969205
511267859126144,2019,2,9,225,10,5.5,29.0,3.367295829986474,1.7047480922384253
511267859126144,2019,2,9,225,11,1.3,11.0,2.3978952727983707,0.26236426446749106
511267859126144,2019,2,9,225,12,5.7,40.0,3.6888794541139363,1.7404661748405046
511267859126144,2019,2,9,225,13,5.6,42.0,3.7376696182833684,1.7227665977411035
511267859126144,2019,2,9,225,14,5.0,32.0,3.4657359027997265,1.6094379124341003
511267859126144,2019,2,9,225,15,6.1,30.0,3.4011973816621555,1.8082887711792655
16365561020004,2013,2,9,238,2,10.8,52.0,3.9512437185814275,2.379546134130174
511268733126144,2019,2,9,238,10,13.3,58.0,4.060443010546419,2.5877640352277083
511268733126144,2019,2,9,238,12,11.1,55.0,4.007333185232471,2.4069451083182885
511268733126144,2019,2,9,238,20,8.4,48.0,3.871201010907891,2.128231705849268
118137398010661,2008,2,9,238,24,5.7,32.0,3.4657359027997265,1.7404661748405046
618642411126144,2020,2,9,300,1,11.8,57.0,4.04305126783455,2.468099531471619
618642411126144,2020,2,9,300,5,14.6,65.0,4.174387269895637,2.681021528714291
618642411126144,2020,2,9,300,8,7.1,38.0,3.6375861597263857,1.9600947840472698
618642411126144,2020,2,9,300,9,8.0,46.0,3.828641396489095,2.0794415416798357
618642411126144,2020,2,9,300,10,9.8,53.0,3.970291913552122,2.2823823856765264
618642411126144,2020,2,9,300,14,9.9,54.0,3.9889840465642745,2.2925347571405443
618642411126144,2020,2,9,300,15,17.2,72.0,4.276666119016055,2.8449093838194073
618642411126144,2020,2,9,300,17,2.1,20.0,2.995732273553991,0.7419373447293773
618642411126144,2020,2,9,300,19,2.2,11.0,2.3978952727983707,0.7884573603642703
618642411126144,2020,2,9,300,20,6.0,32.0,3.4657359027997265,1.791759469228055
618642411126144,2020,2,9,300,22,7.2,39.0,3.6635616461296463,1.9740810260220096
618642411126144,2020,2,9,300,23,7.5,39.0,3.6635616461296463,2.0149030205422647
618642411126144,2020,2,9,300,24,7.4,40.0,3.6888794541139363,2.0014800002101243
618642411126144,2020,2,9,300,25,7.3,42.0,3.7376696182833684,1.9878743481543455
618642411126144,2020,2,9,300,26,1.1,8.0,2.0794415416798357,0.09531017980432493
618642411126144,2020,2,9,300,27,6.0,30.0,3.4011973816621555,1.791759469228055
618642411126144,2020,2,9,300,29,7.1,41.0,3.713572066704308,1.9600947840472698
618642411126144,2020,2,9,300,30,6.5,40.0,3.6888794541139363,1.8718021769015913
618642411126144,2020,2,9,300,31,5.7,35.0,3.5553480614894135,1.7404661748405046
618642411126144,2020,2,9,300,32,5.7,37.0,3.6109179126442243,1.7404661748405046
618642411126144,2020,2,9,300,34,5.2,23.0,3.1354942159291497,1.6486586255873816
511267834126144,2019,2,9,304,5,7.1,52.0,3.9512437185814275,1.9600947840472698
511267834126144,2019,2,9,304,8,3.7,26.0,3.258096538021482,1.308332819650179
511267834126144,2019,2,9,304,12,2.2,20.0,2.995732273553991,0.7884573603642703
722577878290487,2021,2,9,320,1,7.3,40.0,3.6888794541139363,1.9878743481543455
722577878290487,2021,2,9,320,5,7.0,35.0,3.5553480614894135,1.9459101490553132
722577878290487,2021,2,9,320,8,9.0,40.0,3.6888794541139363,2.1972245773362196
